n_estimators,max_depth,learning_rate,subsample,reg_alpha,reg_lambda,val_rmse
200,7,0.05,1.0,1.0,5.0,1.8296
200,5,0.01,1.0,1.0,1.0,1.831
100,7,0.1,0.8,1.0,2.0,1.8326
100,5,0.01,0.8,0.0,2.0,1.8394
100,7,0.1,0.8,1.0,1.0,1.8396
100,3,0.01,0.8,1.0,1.0,1.8407
100,7,0.1,1.0,0.1,5.0,1.85
300,7,0.1,0.8,1.0,1.0,1.8504
200,7,0.1,0.8,1.0,1.0,1.853
200,7,0.05,1.0,0.0,5.0,1.8539
100,7,0.01,0.8,0.0,1.0,1.8596
100,7,0.01,0.8,0.0,2.0,1.8607
100,5,0.1,1.0,0.0,1.0,1.8615
200,7,0.01,0.8,0.0,5.0,1.8622
100,5,0.01,1.0,0.1,5.0,1.8625
100,7,0.01,0.8,0.1,2.0,1.8642
300,7,0.1,0.8,1.0,2.0,1.8644
300,5,0.01,1.0,0.0,2.0,1.8645
200,7,0.1,0.8,1.0,2.0,1.8648
200,7,0.01,0.8,0.1,5.0,1.8665
300,7,0.01,1.0,1.0,2.0,1.869
100,7,0.01,0.8,0.1,1.0,1.869
100,3,0.01,0.8,0.1,2.0,1.8701
100,5,0.01,1.0,0.0,5.0,1.8704
300,7,0.05,1.0,0.0,2.0,1.8737
100,3,0.01,0.8,0.0,2.0,1.8737
200,7,0.05,1.0,0.0,2.0,1.8743
300,7,0.05,1.0,0.1,5.0,1.8774
200,7,0.05,1.0,1.0,2.0,1.878
300,7,0.05,1.0,1.0,2.0,1.8843
100,3,0.01,0.8,1.0,2.0,1.8846
100,7,0.01,1.0,1.0,1.0,1.8854
100,7,0.01,0.8,1.0,1.0,1.8856
100,3,0.01,1.0,0.1,1.0,1.891
100,3,0.01,1.0,0.0,1.0,1.8913
100,7,0.01,0.8,1.0,2.0,1.8929
100,7,0.05,1.0,0.0,5.0,1.8966
300,7,0.01,0.8,1.0,5.0,1.8975
200,5,0.1,1.0,0.0,1.0,1.9003
300,5,0.1,1.0,0.0,1.0,1.9028
100,3,0.01,1.0,1.0,1.0,1.9067
100,3,0.01,0.8,0.1,5.0,1.9113
100,3,0.01,0.8,0.0,5.0,1.9126
100,5,0.01,1.0,1.0,2.0,1.9128
200,5,0.01,1.0,0.0,1.0,1.9143
300,7,0.05,1.0,0.1,2.0,1.9155
100,7,0.05,1.0,1.0,2.0,1.9161
100,5,0.01,0.8,0.0,5.0,1.9162
100,3,0.01,0.8,1.0,5.0,1.917
200,5,0.01,1.0,0.1,2.0,1.9173
